MTDT_INDEX,DTCT_UID,ROAD_POTHOLE,ROAD_CRACK,PLC_LTTD,PLC_LGTD,ROAD_INFO,DSTA_LGLD_INFO,DSTA_ADSTRD_INFO,IMG_CONF
7396,RAD05_240307095031_15621,1,0,36.3559003,127.3402426,대전광역시 유성구 봉명동 442-11,봉명동,온천1동,₩0
7389,RAD05_240307094307_15311,1,0,36.3551934,127.3451278,대전광역시 유성구 봉명동 574,봉명동,온천1동,₩0
7388,RAD05_240307094306_0,1,0,36.3552479,127.3451532,대전광역시 유성구 봉명동 574,봉명동,온천1동,₩0
7171,RAD05_240306150421_3468,1,0,36.313541,127.3199752,대전광역시 유성구 대정동 318,대정동,진잠동,₩0
6887,RAD05_240305161204_2593,1,0,36.3552856,127.3428943,대전광역시 유성구 봉명동 574-2,봉명동,온천1동,₩0
6396,RAD05_240304135911_2761,1,0,36.3521,127.3302716,대전광역시 유성구 구암동 641,구암동,온천1동,₩0
6082,RAD05_240304114808_1117,1,0,36.3535651,127.3308599,대전광역시 유성구 구암동 633,구암동,온천1동,₩0
6058,RAD05_240304113743_44,1,0,36.3570842,127.3400607,대전광역시 유성구 봉명동 528,봉명동,온천1동,₩0
6036,RAD05_240302082932_95,1,0,36.3415461,127.3050923,대전광역시 유성구 계산동 803-11,계산동,학하동,₩0
14082,RAD04_240406084731_24693,1,0,36.3683385,127.3179907,대전광역시 유성구 노은동 583,노은동,노은1동,₩0
14081,RAD04_240406084723_24677,1,0,36.3674616,127.3179857,대전광역시 유성구 노은동 583,노은동,노은1동,₩0
14066,RAD04_240406083154_23931,1,0,36.3655765,127.3176949,대전광역시 유성구 노은동 611,노은동,노은1동,₩0
13964,RAD04_240405152911_16890,1,0,36.3904063,127.3055335,대전광역시 유성구 반석동 716,반석동,노은3동,₩0
13949,RAD04_240405152217_16629,1,0,36.392619,127.3114878,대전광역시 유성구 반석동 676,반석동,노은3동,₩0
13925,RAD04_240405141111_15750,1,0,36.3675465,127.3179908,대전광역시 유성구 노은동 583,노은동,노은1동,₩0
13923,RAD04_240405141002_15690,1,0,36.367097,127.3197021,대전광역시 유성구 노은동 612,노은동,노은1동,₩0
13879,RAD04_240405102153_13375,1,0,36.3918426,127.3109502,대전광역시 유성구 반석동 674,반석동,노은3동,₩0
13761,RAD04_240405085926_11378,1,0,36.3731749,127.3193698,대전광역시 유성구 지족동 965,지족동,노은1동,₩0
13760,RAD04_240405085921_11352,1,0,36.3729046,127.3193593,대전광역시 유성구 지족동 965,지족동,노은1동,₩0
13729,RAD04_240405083026_9861,1,0,36.3626549,127.3345486,대전광역시 유성구 장대동 144-3,장대동,온천2동,₩0
13718,RAD04_240405082018_9280,1,0,36.381661,127.3434033,대전광역시 유성구 신성동 산 40-28,신성동,신성동,₩0
13697,RAD04_240405080733_8474,1,0,36.3578944,127.3361749,대전광역시 유성구 장대동 293,장대동,온천2동,₩0
13509,RAD04_240404152119_4875,1,0,36.3815258,127.3247809,대전광역시 유성구 죽동 648,죽동,노은2동,₩0
13500,RAD04_240404151738_4676,1,0,36.3813227,127.3242128,대전광역시 유성구 죽동 636,죽동,노은2동,₩0
13491,RAD04_240404151559_4523,1,0,36.3850582,127.3207258,대전광역시 유성구 하기동 585,하기동,노은2동,₩0
13446,RAD04_240404135419_2090,1,0,36.3564434,127.3366242,대전광역시 유성구 봉명동 496-16,봉명동,온천1동,₩0
13433,RAD04_240404103803_1280,1,0,36.3908181,127.3317364,대전광역시 유성구 하기동 603,하기동,노은2동,₩0
13416,RAD04_240404102950_520,1,0,36.3813703,127.3243784,대전광역시 유성구 죽동 636,죽동,노은2동,₩0
13415,RAD04_240404102936_509,1,0,36.3815311,127.3248495,대전광역시 유성구 죽동 648,죽동,노은2동,₩0
13325,RAD04_240404064046_1814,1,0,36.3618602,127.357509,대전광역시 유성구 어은동 59-12,어은동,온천2동,₩0
12611,RAD04_240326151907_41340,1,0,36.3924971,127.311814,대전광역시 유성구 반석동 689,반석동,노은3동,₩0
12606,RAD04_240326151717_41252,1,0,36.393572,127.3126234,대전광역시 유성구 반석동 625-3,반석동,노은3동,₩0
12605,RAD04_240326151707_41226,1,0,36.3936933,127.3127063,대전광역시 유성구 반석동 687,반석동,노은3동,₩0
12519,RAD04_240326142651_39053,1,0,36.3630034,127.3350653,대전광역시 유성구 장대동 328-1,장대동,온천2동,₩0
12420,RAD04_240326102411_37343,1,0,36.3615256,127.3367959,대전광역시 유성구 장대동 352-3,장대동,온천2동,₩0
12362,RAD04_240326091248_36527,1,0,36.3667207,127.3224166,대전광역시 유성구 노은동 612,노은동,노은1동,₩0
12353,RAD04_240326085820_36203,1,0,36.3638067,127.3142335,대전광역시 유성구 노은동 603,노은동,노은1동,₩0
12345,RAD04_240326084911_35709,1,0,36.3686205,127.3177944,대전광역시 유성구 노은동 583,노은동,노은1동,₩0
12341,RAD04_240326084811_35649,1,0,36.3716754,127.3178069,대전광역시 유성구 노은동 583,노은동,노은1동,₩0
12336,RAD04_240326084714_35605,1,0,36.3718373,127.3157645,대전광역시 유성구 노은동 570,노은동,노은1동,₩0
12331,RAD04_240326084654_35489,1,0,36.3707474,127.3153722,대전광역시 유성구 노은동 570,노은동,노은1동,₩0
12330,RAD04_240326084653_35486,1,0,36.3706973,127.3153428,대전광역시 유성구 노은동 570,노은동,노은1동,₩0
12328,RAD04_240326084643_35421,1,0,36.3702105,127.3150465,대전광역시 유성구 노은동 570,노은동,노은1동,₩0
12311,RAD04_240326082922_34898,1,0,36.3654503,127.3226331,대전광역시 유성구 노은동 613,노은동,노은1동,₩0
12301,RAD04_240326082512_34657,1,0,36.3649255,127.3377002,대전광역시 유성구 장대동 302,장대동,온천2동,₩0
12224,RAD04_240326073349_31417,1,0,36.361462,127.3435213,대전광역시 유성구 궁동 479-5,궁동,온천2동,₩0
12137,RAD04_240325153706_29568,1,0,36.3929096,127.3114241,대전광역시 유성구 반석동 676,반석동,노은3동,₩0
12136,RAD04_240325153704_29561,1,0,36.3928438,127.311452,대전광역시 유성구 반석동 676,반석동,노은3동,₩0
12134,RAD04_240325153654_29548,1,0,36.3926193,127.3115274,대전광역시 유성구 반석동 676,반석동,노은3동,₩0
11964,RAD04_240325143258_26754,1,0,36.3633894,127.3158492,대전광역시 유성구 노은동 603,노은동,노은1동,₩0
11963,RAD04_240325143220_26735,1,0,36.3637051,127.3156038,대전광역시 유성구 노은동 557-6,노은동,노은1동,₩0
11956,RAD04_240325142308_26428,1,0,36.3663302,127.3155315,대전광역시 유성구 노은동 553-2,노은동,노은1동,₩0
11952,RAD04_240325141948_26250,1,0,36.3669699,127.3194037,대전광역시 유성구 노은동 612,노은동,노은1동,₩0
11912,RAD04_240325135747_25202,1,0,36.3602831,127.3475871,대전광역시 유성구 궁동 491,궁동,온천2동,₩0
11911,RAD04_240325135545_25139,1,0,36.3609922,127.3458582,대전광역시 유성구 궁동 485,궁동,온천2동,₩0
11910,RAD04_240325135532_25123,1,0,36.3610807,127.3456344,대전광역시 유성구 궁동 486-4,궁동,온천2동,₩0
11907,RAD04_240325135241_25026,1,0,36.3569944,127.3427585,대전광역시 유성구 봉명동 574,봉명동,온천1동,₩0
11890,RAD04_240325103315_23730,1,0,36.4102501,127.3002342,대전광역시 유성구 안산동 227-2,안산동,노은2동,₩0
11883,RAD04_240325102230_23489,1,0,36.4034926,127.3104053,대전광역시 유성구 외삼동 407-2,외삼동,노은2동,₩0
11879,RAD04_240325101801_23451,1,0,36.4034698,127.3102407,대전광역시 유성구 외삼동 408-1,외삼동,노은2동,₩0
11877,RAD04_240325101633_23422,1,0,36.3988263,127.3146315,대전광역시 유성구 외삼동 574-5,외삼동,노은2동,₩0
11876,RAD04_240325101627_0,1,0,36.3986833,127.3149461,대전광역시 유성구 외삼동 574-5,외삼동,노은2동,₩0
11872,RAD04_240325100815_23269,1,0,36.3967094,127.312959,대전광역시 유성구 외삼동 587,외삼동,노은2동,₩0
11870,RAD04_240325100642_23219,1,0,36.396436,127.3142371,대전광역시 유성구 외삼동 274-17,외삼동,노은2동,₩0
