Year,Month,Day,PLC_LTTD,PLC_LGTD
2024,3,24,36.3598142,127.3436026
2024,3,24,36.3746277,127.356279
2024,3,24,36.3744368,127.3561441
2024,3,23,36.3751087,127.3260844
2024,3,23,36.3706302,127.3271548
2024,3,23,36.370444,127.3271596
2024,3,23,36.3695583,127.3271559
2024,3,23,36.3692296,127.3271627
2024,3,23,36.3778468,127.3787293
2024,3,23,36.369989,127.3234588
2024,3,23,36.3704256,127.3234617
2024,3,23,36.3721127,127.3217454
2024,3,22,36.3935438,127.3127071
2024,3,22,36.3925814,127.3115061
2024,3,22,36.3712802,127.323494
2024,3,22,36.3698752,127.3234894
2024,3,22,36.3619318,127.3371929
2024,3,22,36.3647811,127.3170002
2024,3,22,36.3878495,127.3099575
2024,3,22,36.3721896,127.3174811
2024,3,22,36.3588135,127.3395885
2024,3,22,36.3700646,127.3234103
2024,3,21,36.4101675,127.300512
2024,3,21,36.410186,127.30046
2024,3,21,36.3923987,127.3088371
2024,3,21,36.3917836,127.3118112
2024,3,21,36.3863873,127.3380045
2024,3,21,36.374705,127.3211138
2024,3,21,36.3747057,127.3210463
2024,3,20,36.3691698,127.3286026
2024,3,20,36.3690079,127.3286739
2024,3,20,36.3673105,127.3294025
2024,3,20,36.3672892,127.3294121
2024,3,20,36.3586328,127.3352517
2024,3,20,36.3658437,127.3325814
2024,3,20,36.365939,127.3325248
2024,3,20,36.3666807,127.33117
2024,3,20,36.3632938,127.3172028
2024,3,20,36.364075,127.3138529
2024,3,20,36.364075,127.3138529
2024,3,20,36.3664283,127.3127698
2024,3,20,36.3983185,127.3155252
2024,3,20,36.3984152,127.3153139
2024,3,20,36.3986666,127.3148267
2024,3,20,36.3988011,127.3145384
2024,3,20,36.4155237,127.2979896
2024,3,20,36.4180813,127.2957847
2024,3,20,36.3987553,127.3145941
2024,3,20,36.3987361,127.314639
2024,3,20,36.3985853,127.3149502
2024,3,20,36.361201,127.338621
2024,3,19,36.3781416,127.3766398
2024,3,19,36.3855468,127.3785166
2024,3,19,36.3855657,127.3784788
2024,3,19,36.3855478,127.3561245
2024,3,19,36.3656542,127.3326867
2024,3,19,36.3657853,127.3326057
2024,3,19,36.3684685,127.3176704
2024,3,19,36.3655623,127.3176768
2024,3,19,36.3611757,127.3284398
2024,3,19,36.3610381,127.3419231
2024,3,19,36.3697593,127.3234051
2024,3,18,36.3868764,127.3248244
2024,3,18,36.3578995,127.3361589
2024,3,16,36.3709835,127.3271067
2024,3,16,36.3708263,127.3271085
2024,3,16,36.3694598,127.3271185
2024,3,16,36.3678407,127.3271244
2024,3,16,36.3618632,127.3575563
2024,3,16,36.350304,127.3386231
2024,3,16,36.3575365,127.3399083
2024,3,16,36.3582065,127.3396608
2024,3,16,36.3593666,127.3392583
2024,3,16,36.3596018,127.3361984
2024,3,16,36.3587096,127.3362763
2024,3,16,36.3587096,127.3362763
2024,3,16,36.3586145,127.3371732
2024,3,16,36.3586141,127.3372929
2024,3,15,36.3821455,127.3242538
2024,3,15,36.3823345,127.3233784
2024,3,15,36.3934307,127.3127439
2024,3,15,36.3953794,127.3104892
2024,3,15,36.4154359,127.2979932
2024,3,15,36.4180909,127.2958353
2024,3,15,36.4118586,127.2980415
2024,3,15,36.4230935,127.2959228
2024,3,15,36.4232494,127.2957205
2024,3,15,36.4237778,127.2950156
2024,3,15,36.4240066,127.2947117
2024,3,15,36.424371,127.2942183
2024,3,15,36.424298,127.2943179
2024,3,15,36.4244401,127.2941234
2024,3,15,36.424851,127.2935734
2024,3,15,36.42513,127.2930793
2024,3,15,36.4046401,127.3058309
2024,3,15,36.4045878,127.305871
2024,3,15,36.3867309,127.3316777
2024,3,15,36.359924,127.3328281
2024,3,15,36.3894705,127.3015819
2024,3,15,36.3607926,127.3406595
2024,3,8,36.383192,127.3207279
2024,3,8,36.3664857,127.3232562
2024,3,8,36.4142147,127.2981386
2024,3,8,36.3986968,127.3147334
2024,3,8,36.3602462,127.3485352
2024,3,8,36.3617674,127.3475369
2024,3,7,36.3744059,127.3052699
2024,3,7,36.3745453,127.3050501
2024,3,7,36.374596,127.3049595
2024,3,7,36.3866109,127.3032463
2024,3,7,36.3903367,127.2967964
2024,3,7,36.3684586,127.3192012
2024,3,7,36.3570904,127.3380879
2024,3,7,36.3571893,127.3385575
2024,3,6,36.3876842,127.3254523
2024,3,6,36.3872732,127.3257704
2024,3,6,36.387226,127.3257301
2024,3,6,36.3598201,127.3392838
2024,3,6,36.3594103,127.3393021
2024,3,6,36.4137939,127.2981846
2024,3,6,36.4034867,127.3115641
2024,3,6,36.3999679,127.3122242
2024,3,6,36.3999396,127.3122468
2024,3,6,36.3991151,127.3140179
2024,3,6,36.3989653,127.3142435
2024,3,6,36.387443,127.3184973
2024,3,6,36.3874912,127.3186007
2024,3,5,36.3621484,127.3354577
2024,3,5,36.3615682,127.3351341
2024,3,5,36.3611856,127.3534735
2024,3,5,36.3626943,127.3474261
2024,3,5,36.3626943,127.3474261
2024,3,5,36.3666778,127.3312545
2024,3,5,36.3736319,127.3193243
2024,3,4,36.3849263,127.3215201
2024,3,4,36.3609309,127.3530891
2024,3,1,36.3747976,127.3193131
2024,2,29,36.3775002,127.3059954
2024,2,29,36.3644295,127.3084739
2024,2,29,36.3644295,127.3084739
2024,2,29,36.366928,127.3109622
2024,2,29,36.3521803,127.3339143
2024,2,29,36.3509413,127.3349733
2024,9,8,36.3623567,127.3568282
2024,9,8,36.3403616,127.3087813
2024,9,8,36.3385493,127.316879
2024,9,8,36.3378753,127.325972
2024,9,8,36.3454733,127.3389475
2024,7,26,36.3666797,127.3272001
2024,7,26,36.4069446,127.3732953
2024,7,1,36.3685649,127.3137784
2024,7,1,36.369035,127.3142954
2024,7,1,36.3702158,127.3150586
2024,7,1,36.3804669,127.3165383
2024,7,1,36.3834115,127.3175792
2024,7,1,36.3802982,127.3164768
2024,6,27,36.3614293,127.3564059
2024,6,27,36.358084,127.3432458
2024,6,27,36.4248486,127.3936643
2024,6,26,36.3635934,127.3406701
2024,6,24,36.3636969,127.3603858
2024,6,24,36.3972687,127.3550816
2024,6,21,36.3558611,127.342136
2024,6,21,36.3607627,127.3542081
2024,6,20,36.4079284,127.3762414
2024,6,20,36.4086694,127.3777816
2024,6,20,36.40644,127.3848902
