월,도로,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,총교통량
2024년 04월,계룡로,872,616,467,393,442,885,"1,754","2,795","3,343","3,283","3,200","3,198","3,109","3,327","3,399","3,381","3,558","3,720","3,652","3,041","2,644","2,372","1,878","1,262",56591
2024년 04월,계백로,850,581,401,332,392,854,"1,686","2,459","3,050","3,062","3,039","3,136","2,955","3,196","3,153","3,251","3,397","3,623","3,459","2,823","2,367","2,118","1,654","1,175",53013
2024년 04월,계족로,457,305,217,225,345,665,"1,208","1,776","2,001","1,864","1,874","1,868","1,930","1,970","2,021","2,035","2,094","2,125","1,975","1,581","1,365","1,147",895,650,32593
2024년 04월,구봉로,120,112,97,92,103,136,246,483,677,551,517,521,537,543,563,600,690,715,733,499,369,308,227,153,9592
2024년 04월,노은길,190,139,110,96,103,144,278,792,983,848,781,817,864,900,902,937,"1,072","1,269","1,372",920,682,597,443,271,15510
2024년 04월,노은로,195,136,100,100,139,313,805,"1,958","2,320","1,901","1,449","1,425","1,435","1,565","1,561","1,728","2,130","2,585","2,387","1,455","1,124",873,564,300,28548
2024년 04월,대전로,478,274,228,231,298,598,"1,093","1,492","1,641","1,681","1,699","1,648","1,605","1,707","1,748","1,752","1,804","1,786","1,686","1,386","1,281","1,168",976,717,28977
2024년 04월,대종로,351,256,204,187,221,479,805,"1,231","1,554","1,452","1,464","1,449","1,453","1,580","1,640","1,702","1,821","1,868","1,808","1,285","1,076",935,745,504,26070
2024년 04월,대청길,99,74,57,55,66,119,282,578,655,630,692,768,835,902,915,887,898,876,819,617,507,411,270,159,12171
2024년 04월,동서로,664,479,380,332,438,902,"1,696","2,428","2,963","2,734","2,799","2,751","2,747","2,822","2,869","2,890","3,057","3,047","2,961","2,503","2,211","1,896","1,498","1,006",48073
2024년 04월,문지로,83,70,57,57,61,134,312,879,"1,058",687,470,508,521,539,522,578,717,921,817,459,319,246,169,111,10295
2024년 04월,문화로,191,137,105,92,146,290,591,"1,033","1,288","1,130","1,153","1,140","1,156","1,171","1,209","1,226","1,354","1,363","1,290",863,649,587,429,278,18871
2024년 04월,배재로,395,273,228,184,225,438,690,918,"1,047","1,161","1,086","1,118","1,040","1,169","1,149","1,233","1,252","1,418","1,279","1,105",983,929,735,528,20583
2024년 04월,벌곡길,75,68,62,68,75,116,206,440,512,490,558,591,551,595,618,630,626,568,549,278,215,169,152,89,8301
2024년 04월,보문로,232,176,138,135,197,364,715,"1,060","1,105","1,131","1,115","1,090","1,083","1,108","1,116","1,085","1,009","1,004",976,818,765,704,557,345,18028
2024년 04월,옥천길,123,102,90,84,108,223,504,"1,035","1,198","1,051","1,091","1,158","1,200","1,325","1,344","1,377","1,477","1,598","1,432",869,672,462,296,179,18998
2024년 04월,우암로,189,130,105,91,153,294,515,965,"1,169",918,875,906,919,941,943,"1,009","1,121","1,194","1,233",877,668,570,440,284,16509
2024년 04월,자양로,436,328,239,202,231,413,694,"1,114","1,392","1,350","1,319","1,399","1,405","1,422","1,346","1,421","1,500","1,579","1,565","1,332","1,137","1,010",799,599,24232
2024년 04월,충무로,239,189,143,133,199,401,705,"1,138","1,547","1,429","1,344","1,393","1,463","1,479","1,451","1,462","1,547","1,653","1,586","1,107",912,768,573,345,23206
2024년 04월,가오동길,115,77,62,68,110,220,376,599,778,678,653,626,648,733,755,792,887,966,881,551,423,357,243,168,11766
2024년 04월,대덕대로,558,375,289,287,360,682,"1,420","2,535","2,955","2,671","2,339","2,420","2,309","2,465","2,560","2,744","3,034","3,365","3,076","2,313","2,013","1,667","1,273",803,44513
2024년 04월,도안대로,630,443,321,262,280,424,709,"1,556","1,839","1,688","1,408","1,311","1,239","1,306","1,323","1,420","1,822","1,749","1,534","1,823","1,676","1,492","1,186",863,28304
2024년 04월,도안동로,509,380,291,236,316,612,"1,364","2,319","2,567","2,317","1,947","1,863","1,844","1,985","2,072","2,177","2,333","2,376","2,389","1,870","1,562","1,423","1,060",716,36528
