Year,Month,Day,PLC_LTTD,PLC_LGTD,Grid_X,Grid_Y,Grid_ID
2024,4,5,36.3549639,127.3449165,8,6,24
2024,4,5,36.3572883,127.3407322,9,5,30
2024,4,5,36.3561963,127.3328358,8,4,22
2024,4,5,36.3558867,127.3403145,8,5,23
2024,4,5,36.3545695,127.3502054,8,6,24
2024,4,5,36.3543671,127.3499997,8,6,24
2024,4,5,36.3549855,127.3450262,8,6,24
2024,4,5,36.3437096,127.3222882,7,3,18
2024,4,5,36.3449841,127.2959546,7,1,16
2024,4,4,36.3814433,127.3244746,11,4,44
2024,4,4,36.3815636,127.3249248,11,4,44
2024,4,4,36.3432979,127.2990918,7,1,16
2024,4,4,36.3431311,127.2993334,7,1,16
2024,4,4,36.309786,127.3080341,4,2,8
2024,4,4,36.3505537,127.3371626,8,5,23
2024,4,4,36.3523244,127.3382727,8,5,23
2024,4,4,36.3292556,127.312099,6,2,13
2024,4,4,36.2999016,127.3199788,3,3,6
2024,4,4,36.3002815,127.3201086,3,3,6
2024,4,4,36.2998383,127.3201286,3,3,6
2024,4,3,36.3578388,127.3398481,9,5,30
2024,3,23,36.3560259,127.3424678,8,5,23
2024,3,23,36.3523203,127.3337203,8,4,22
2024,3,23,36.3414286,127.3054769,7,2,17
2024,3,23,36.350817,127.3350351,8,5,23
2024,3,22,36.3814009,127.3243568,11,4,44
2024,3,22,36.3815173,127.3247269,11,4,44
2024,3,22,36.3554654,127.3417732,8,5,23
2024,3,22,36.355049,127.3450638,8,6,24
2024,3,22,36.3507567,127.335642,8,5,23
2024,3,22,36.3486765,127.3455379,8,6,24
2024,3,21,36.3520733,127.3301716,8,4,22
2024,3,21,36.3226052,127.3187533,5,3,12
2024,3,20,36.3418338,127.3046393,7,2,17
2024,3,19,36.3569953,127.3533698,9,6,31
2024,3,19,36.3554982,127.3411926,8,5,23
2024,3,19,36.3552217,127.3431073,8,5,23
2024,3,19,36.3418344,127.3026135,7,1,16
2024,3,18,36.3814008,127.3244028,11,4,44
2024,3,18,36.3549347,127.3449815,8,6,24
2024,3,17,36.3560019,127.3327262,8,4,22
2024,3,17,36.3443497,127.3229261,7,3,18
2024,3,17,36.3597735,127.3048581,9,2,27
2024,3,17,36.3152067,127.3163994,4,3,9
